Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,Russia,Clothes,Online,L,2018-01-01,142734307,2018-01-25,7770,255.28,137.32,1983525.6,1066976.4,916549.2
Sub-Saharan Africa,France,Snacks,Offline,L,2018-01-18,972912794,2018-02-01,1360,651.21,468.51,885645.6,637173.6,248472.0
Australia and Oceania,Mexico,Baby Food,Online,M,2018-02-04,951098101,2018-02-11,5890,255.28,149.61,1503599.2,881202.9,622396.3
Sub-Saharan Africa,Egypt,Office Supplies,Online,L,2018-02-21,238795966,2018-03-22,5691,651.21,445.4,3706036.11,2534771.4,1171264.71
North America,Germany,Fruits,Offline,H,2018-03-10,255032720,2018-04-06,6234,437.2,299.22,2725504.8,1865337.48,860167.32
Asia,Kenya,Cosmetics,Offline,H,2018-03-27,227833288,2018-04-15,6765,12.5,8.1,84562.5,54796.5,29766.0
Asia,Nigeria,Office Supplies,Online,M,2018-04-13,355669152,2018-05-01,966,9.33,4.51,9012.78,4356.66,4656.12
North America,France,Meat,Offline,C,2018-04-30,792377588,2018-05-17,4926,255.28,193.77,1257509.28,954511.02,302998.26
Australia and Oceania,Russia,Cereal,Offline,M,2018-05-17,373997523,2018-06-11,6078,255.28,145.17,1551591.84,882343.26,669248.58
Europe,Japan,Baby Food,Online,M,2018-06-03,541444812,2018-06-20,8822,437.2,226.91,3856978.4,2001800.02,1855178.38
Central America and the Caribbean,Rwanda,Beverages,Offline,C,2018-06-20,893414363,2018-06-27,2185,154.06,71.65,336621.1,156555.25,180065.85
Australia and Oceania,Tuvalu,Vegetables,Online,C,2018-07-07,190012399,2018-07-30,1269,35.84,23.96,45480.96,30405.24,15075.72
Central America and the Caribbean,Mexico,Cosmetics,Offline,C,2018-07-24,798434460,2018-08-09,7449,437.2,306.35,3256702.8,2282001.15,974701.65
North America,Germany,Office Supplies,Online,H,2018-08-10,672025740,2018-08-14,2933,205.7,93.83,603318.1,275203.39,328114.71
Middle East and North Africa,India,Beverages,Online,L,2018-08-27,791177005,2018-09-09,5811,35.84,22.92,208266.24,133188.12,75078.12
Central America and the Caribbean,Nigeria,Cereal,Online,H,2018-09-13,427278114,2018-10-04,5551,9.33,4.98,51790.83,27643.98,24146.85
Europe,Egypt,Clothes,Offline,L,2018-09-30,411545084,2018-10-09,6920,35.84,24.68,248012.8,170785.6,77227.2
Middle East and North Africa,Germany,Beverages,Online,H,2018-10-17,918327941,2018-10-25,1684,154.06,79.27,259437.04,133490.68,125946.36
Central America and the Caribbean,Rwanda,Baby Food,Offline,L,2018-11-03,958134097,2018-11-07,5055,35.84,25.29,181171.2,127840.95,53330.25
North America,Tuvalu,Baby Food,Online,H,2018-11-20,815709298,2018-11-28,3885,9.33,5.53,36247.05,21484.05,14763.0
Middle East and North Africa,Kenya,Clothes,Online,C,2018-12-07,448590788,2018-12-27,6896,154.06,122.72,1062397.76,846277.12,216120.64
North America,Tuvalu,Vegetables,Offline,M,2018-12-24,587114542,2018-12-28,9166,255.28,127.87,2339896.48,1172056.42,1167840.06
Central America and the Caribbean,Brazil,Fruits,Online,H,2019-01-10,826607768,2019-01-30,3058,255.28,147.09,780646.24,449801.22,330845.02
North America,Tuvalu,Beverages,Online,L,2019-01-27,822598337,2019-02-13,8349,651.21,320.39,5436952.29,2674936.11,2762016.18
Europe,Brazil,Clothes,Offline,C,2019-02-13,455401737,2019-03-14,2547,35.84,28.39,91284.48,72309.33,18975.15
Central America and the Caribbean,Mexico,Baby Food,Online,H,2019-03-02,884812855,2019-03-23,3247,255.28,197.74,828894.16,642061.78,186832.38
Central America and the Caribbean,Kenya,Baby Food,Online,H,2019-03-19,644006941,2019-03-23,689,9.33,5.09,6428.37,3507.01,2921.36
Central America and the Caribbean,Egypt,Office Supplies,Online,C,2019-04-05,598490609,2019-04-27,3234,81.73,56.74,264314.82,183497.16,80817.66
Australia and Oceania,Australia,Snacks,Online,H,2019-04-22,321568250,2019-05-19,3505,81.73,61.49,286463.65,215522.45,70941.2
Australia and Oceania,Rwanda,Vegetables,Offline,M,2019-05-09,294212716,2019-05-17,5158,154.06,100.97,794641.48,520803.26,273838.22
Australia and Oceania,Brazil,Beverages,Offline,H,2019-05-26,807957764,2019-05-29,2399,255.28,164.9,612416.72,395595.1,216821.62
Europe,India,Beverages,Online,M,2019-06-12,213245302,2019-07-08,8234,255.28,137.72,2101975.52,1133986.48,967989.04
Middle East and North Africa,Tuvalu,Cereal,Offline,M,2019-06-29,792585463,2019-07-16,1767,81.73,39.59,144416.91,69955.53,74461.38
North America,Tuvalu,Clothes,Online,C,2019-07-16,643156000,2019-08-10,2028,255.28,199.62,517707.84,404829.36,112878.48
Asia,India,Cereal,Offline,H,2019-08-02,218550901,2019-08-14,4056,35.84,28.07,145367.04,113851.92,31515.12
Central America and the Caribbean,Egypt,Clothes,Online,C,2019-08-19,360074560,2019-09-09,4390,205.7,140.75,903023.0,617892.5,285130.5
North America,Japan,Meat,Online,H,2019-09-05,746035632,2019-09-24,9338,12.5,7.19,116725.0,67140.22,49584.78
Central America and the Caribbean,Mexico,Baby Food,Online,H,2019-09-22,644339722,2019-09-29,5893,651.21,377.19,3837580.53,2222780.67,1614799.86
Europe,Canada,Snacks,Online,L,2019-10-09,504288340,2019-10-15,9292,154.06,110.71,1431525.52,1028717.32,402808.2
Central America and the Caribbean,Australia,Office Supplies,Online,H,2019-10-26,662171966,2019-11-07,8933,205.7,160.84,1837518.1,1436783.72,400734.38
Australia and Oceania,Nigeria,Snacks,Online,C,2019-11-12,714135000,2019-12-08,8013,81.73,63.6,654902.49,509626.8,145275.69
Asia,Russia,Snacks,Offline,M,2019-11-29,440007738,2019-12-18,3112,255.28,188.54,794431.36,586736.48,207694.88
Sub-Saharan Africa,Brazil,Snacks,Online,H,2019-12-16,495647770,2019-12-28,7541,651.21,447.74,4910774.61,3376407.34,1534367.27
